Auteur,Texte,Date
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 
L’ Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu’ils peuvent passer à l’Espace Numérique Ouvert de Karpala, ce Vendredi 1er Décembre 2023 afin de récupérer leurs ordinateurs (Marques HAIER et HI).
La remise des ordinateurs se fait au sein de l’Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque ét… En voir plus",01/01/2018
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../,"L'Université Virtuelle du Burkina Faso, université publique burkinabè, porte à la connaissance du public qu'elle lance un appel à candidature, au titre de l’année académique 2021-2022, pour un recrutement complémentaire sur dossier, d'étudiants en deuxième année de Licence, du 11 au 25 Octobre 2021.
Retrouvez l'intégralité du communiqué sur notre site web : 
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../… En voir plus",01/01/2018
Agence d'Information des Universités du Burkina,"L’Université Virtuelle du Burkina Faso (UV-BF) informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, le lundi 29 et le mardi 30 Janvier 2024 afin de récupérer leurs ordinateurs Marques HP ET LENOVO.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
- Pour le retrait pour une tierce personne, vous devez disposer d'une procuration en bonne et due forme.
Agence d'Information des Universités du Burkina
Université Virtuelle du Burkina Faso - UVBF",01/01/2018
https://youtube.com/channel/UCKZY8DjkR6X9HC-Z7VOHErQ,"Création des comptes sur la plateforme de formation et mise à disposition des vidéos tutorielles de prise en main de la plateforme.
Chers étudiants / chères étudiantes, L'Université Virtuelle du Burkina Faso porte à votre connaissance que vos comptes sur la plateforme de formation ont été créés et les accès vous ont été envoyés dans vos boîtes mails (celles ayant servies à la création de vos comptes sur CAMPUS FASO).
Ceux ayant reçu plusieurs mails à la fois sont priés de considérer juste le dernier mail.
Par ailleurs, les vidéos tutorielles pour la prise en main de la plateforme de formation sont disponibles sur notre chaine Youtube intitulé : UNIVERSITE VIRTUELLE BURKINA FASO. 
Le lien d'accès direct à la chaine Youtube est le suivant : https://youtube.com/channel/UCKZY8DjkR6X9HC-Z7VOHErQ
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Université Virtuelle du Burkina Faso - UVBF 
Communiqué relatif aux plaintes d'étudiants de l'Université Virtuelle du Burkina Faso (UV-BF) n'ayant toujours pas obtenu leur ordinateur dans le cadre du programme « un étudiant, un ordinateur ».
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://uv.bf/offre-de-formation/," La transformation du paysage éducatif requiert de repenser la façon de se former. 
C'est pourquoi, nous vous annonçons une nouvelle étape importante dans le domaine de l'enseignement de la finance en ligne, avec la récente collaboration entre l'Université Virtuelle du Burkina Faso et Learngest 
  Pour en savoir + 
https://uv.bf/offre-de-formation/",01/01/2018
https://uv.bf/resultats-de-lappel-a-candidatures-pour-le.../,"Résultats de l'appel à candidatures pour le recrutement d'étudiants en Master 1 en E-Santé et Télémédecine à l'UV-BF pour le compte de l'année académique 2022-2023.
Retrouvez la liste complète sur note site internet : https://uv.bf/resultats-de-lappel-a-candidatures-pour-le.../
Les résultats sont également consultables sur le tableau d’affichage au sein de l’UV-… En voir plus",01/01/2018
#Ordinateurs," 𝗖𝗼𝗺𝗺𝗲 𝘃𝗼𝘂𝘀 𝗹'𝗮𝘃𝗲𝘇 𝘀𝗼𝘂𝗵𝗮𝗶𝘁é...
 𝗘𝘁𝘂𝗱𝗶𝗮𝗻𝘁, 𝟭 𝗼𝗿𝗱𝗶𝗻𝗮𝘁𝗲𝘂𝗿 / 𝟮𝗲𝗺𝗲 𝗘𝗱𝗶𝘁𝗶𝗼𝗻
Nous avons le plaisir de vous  annoncer l'ouverture de la 2ème édition du programme 1 étudiant, 1ordinateur.
Postulez dès maintenant sur : 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫.𝐜𝐚𝐦𝐩𝐮𝐬𝐟𝐚𝐬𝐨.𝐛𝐟
#Ordinateurs à partir de 𝟳𝟱 𝟳𝟱𝟬 𝗳𝗰𝗳𝗮.
(tous les #ordinateurs sont subventionnés par l'état à 60%)
NB: les étudiants orientés au privé peuvent également souscrire
"" 𝑳'𝒐𝒓𝒅𝒊𝒏𝒂𝒕𝒆𝒖𝒓, 𝒄'𝒆𝒔𝒕 𝒖𝒏 𝒑𝒆𝒖 𝒍𝒂 𝒍𝒂𝒎𝒑𝒆 𝒅'𝑨𝒍𝒂𝒅𝒅𝒊𝒏 𝒂𝒄𝒕𝒖𝒂𝒍𝒊𝒔é𝒆 ""  𝑮𝒖𝒊𝒍𝒍𝒂𝒖𝒎𝒆 𝑴𝒖𝒔𝒔𝒐
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université NAZI BONI 
Universite  Norbert  ZONGO 
Université  de Ouahigouya-UOHG 
Université de Fada N'Gourma 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
CEFORGRIS-Université Joseph Ki-Zerbo 
Ciospb Officiel 
CENOU Burkina 
FONER Officiel 
#Burkina 
#Université 
#campusfaso
#1etudiant1ordinateur
#ordinateur  
#lwili",01/01/2018
https://forms.gle/DJpSfhkzW6QRJCQB9,"SESSION D'INFORMATION VIRTUELLE AU PROFIT DES ÉTUDIANTS ORIENTES A L'UV-BF.
Ce Mardi 23 Août 2022, l'Université Virtuelle du Burkina Faso organisera une session d'information virtuelle au profit des nouveaux orientés en son sein.
Soyez tous connecté ce mardi dès 14h00 sur notre page Facebook afin d'en savoir plus sur votre université.
Vous pouvez nous faire parvenir vos différentes questions en amont via le formulaire suivant : https://forms.gle/DJpSfhkzW6QRJCQB9
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
"Ministère Enseignement Supérieur, Recherche et Innovation"," APPEL À MANIFESTATION D'INTÉRÊT 
PROGRAMME PRÉSIDENTIEL << UN ÉTUDIANT, UN ORDINATEUR >>
Dépôt des plis des prestataires 
Lieu: au secrétariat du Projet d'Appui à l'enseignement Supérieur sis à l'Immeuble SIRIMA, Boulevard Charles de Gaulle en face de l'agence BSIC Wemtenga , porte no : 2353, 1er étage, téléphone : (+226) 25 36 21 79
Date : au plus tard le 06 septembre 2022 à 9h 
Ministère Enseignement Supérieur, Recherche et Innovation 
#camspusfaso",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Le Président de l'Université Virtuelle du Burkina Faso (UV-BF) porte à la connaissance du public que suite aux difficultés techniques rencontrées au cours de la période de réception des candidatures, la date de clôture des appels à candidatures pour le recrutement de quarante (40) auditeurs pour une formation de niveau Master en Sciences de l'Education et de la Formation (MSEF) et de niveau Master en Fouilles de Données et Intelligence Artificielle (Master FD&IA), initialement prévue pour le 15 septembre 2024, est prorogée jusqu'au 25 septembre 2024.
A cet effet, la suite du calendrier de l'appel à candidatures se présente comme suit :
- Publication des résultats : mercredi 02 octobre 2024;
- Inscription administrative et pédagogique: du jeudi 10 au dimanche 20 octobre 2024 ;
- Début des cours : lundi 28 octobre 2024.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
Université Virtuelle du Burkina Faso - UVBF",01/01/2018
#A_VOTRE_ATTENTION," #A_VOTRE_ATTENTION !
De nouvelles filières à l'université virtuelle du Burkina Faso.
Désormais nous avons :
- Lettre moderne ( LM)… En voir plus",01/01/2018
AUF Burkina Faso,"Remise des attestations aux bénéficiaires du projet CFAPE édition 2023.
Le 1er Février 2024 a eu lieu la remise des attestations d'un premier Lot aux bénéficiaires.
Merci à tous ceux qui ont faciliter cette mission, notre mission de contribuer à la vulgarisation et à l'enseignement du numérique à nos cadets.
AUF Burkina Faso 
Université Virtuelle du Burkina Faso - UVBF 
Coding Club Carrefour",01/01/2018
https://forms.gle/kzfXEvXTKX5gP8dA7,"SESSION D'INFORMATION VIRTUELLE AU PROFIT DES NOUVEAUX BACHELIERS 2023
Ce Mardi 29 Août 2023, l'Université Virtuelle du Burkina Faso organisera une session d'information virtuelle au profit des nouveaux bacheliers 2023.
Soyez tous connectés ce mardi dès 14h00 sur notre page Facebook afin d'en savoir plus sur votre université.
Vous pouvez deja nous faire parvenir vos différentes questions en amont via le formulaire suivant : https://forms.gle/kzfXEvXTKX5gP8dA7
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://uv.bf/retrait-des-ordinateurs-de-marque-asus.../,"L’Université Virtuelle du Burkina Faso (UV-BF) informe les étudiants dont les noms figurent sur les listes ci-dessous qu’ils peuvent passer à l’Espace Numérique Ouvert de Karpala, ce Jeudi 30 Novembre 2023 afin de récupérer leurs ordinateurs (Marques ASUS Celeron et ASUS Core i3).
La remise des ordinateurs se fait au sein de l’Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
– Pour le retrait pour une tierce personne, vous devez disposer d’une procuration en bonne et due forme.
Consulter la liste ici : https://uv.bf/retrait-des-ordinateurs-de-marque-asus.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#Rappel,"#Rappel 
𝗗𝗘𝗣𝗢𝗧 𝗖𝗜𝗧𝗘 𝗨𝗡𝗜𝗩𝗘𝗥𝗦𝗜𝗧𝗔𝗜𝗥𝗘
Le #session de dépôt des #dossiers pour les cités précédemment fixée au 06 octobre est #prorogée au 𝘃𝗲𝗻𝗱𝗿𝗲𝗱𝗶 𝟮𝟱 𝗼𝗰𝘁𝗼𝗯𝗿𝗲 𝟮𝟬𝟮𝟰 sur hebergement.campusfaso.bf
Voir des dossiers à fournir et infos comp… En voir plus",01/01/2018
"Ministère Enseignement Supérieur, Recherche et Innovation"," 𝗕𝗢𝗨𝗥𝗦𝗘𝗦 𝗜𝗡𝗧𝗘𝗥𝗠𝗘𝗗𝗜𝗔𝗜𝗥𝗘𝗦 𝟮𝟬𝟮𝟯
Le ministère de l'enseignement supérieur de la recherche et de l'innovation à l'honneur de porter à la connaissance des étudiants du 𝐜𝐲𝐜𝐥𝐞 𝐥𝐢𝐜𝐞𝐧𝐜𝐞, 𝐦𝐚𝐬𝐭𝐞𝐫 𝟐  𝐞𝐭 𝐢𝐧𝐠𝐞𝐧𝐢𝐨𝐫𝐚𝐭 𝟐 𝐞𝐭 𝟑 des universités publiques du Burkina Faso , que l'état burkinabè offres des bourses intermédiaires au titre de l'année académique 2022-2023.
-Cycle licence : 225 bourses disponibles 
-Master 2 : 20 bourses disponibles 
-Ingeniorat 2 et 3 : 05 bourses disponibles 
𝐋𝐢𝐞𝐮 𝐝𝐞 𝐝é𝐩ô𝐭 : 𝐰𝐰𝐰.𝐜𝐚𝐦𝐩𝐮𝐬𝐟𝐚𝐬𝐨.𝐛𝐟 
𝐃𝐚𝐭𝐞: 𝐝𝐮 𝟎𝟓 𝐚𝐮 𝟏𝟗 𝐚𝐯𝐫𝐢𝐥 𝟐𝟎𝟐𝟑
NB : bien lire les communiqués ci dessous 
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université NAZI BONI 
Universite  Norbert  ZONGO 
Université  de Ouahigouya-UOHG 
Université de Fada N'Gourma 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
Ciospb Officiel 
#BurkinaFaso #boursesdetudes #campusfaso #MESRSI #lwili",01/01/2018
Université,Rentrée des Bacheliers nouvellement Orientés à Université Virtuelle du Burkina FasoUniversité Virtuelle du Burkina Faso - UVBFUVBF   le 01 Octobre 2024,01/01/2018
www.campusfaso.bf," RÉSULTATS D'ORIENTATION 
Les résultats des demandes d’orientation dans les universités publiques sont disponibles.
 Pour consulter :
1- Aller sur www.campusfaso.bf , cliquer sur orientation
2- Se connecter avec son ine et mot de passe
3- Cliquer sur « détails » du dossier
Ou consulter directement dans sa boîte mail.
 Les résultats des bacheliers de l'étranger et des anciens bac ( inférieur à 2020 ) sortiront dans les jours à venir.
NB:  les paiements sont prévus du 21 au 31 août 2022 toujours sur www.campusfaso.bf
La session de rattrapage est prévue du 05 au 15 septembre 2022.
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université Nazi Boni 
Universite  Norbert  ZONGO 
Université  de Ouahigouya-UOHG 
Université de Fada N'Gourma 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF   
Ecole Polytechnique de Ouagadougou - EPO 
#Burkina 
#bacheliers 
#Université 
#campusfaso
#orientation 
#bourse 
#bac2022 
#lwili",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"J'ai eu l'honneur de représenter mon université et le Burkina Faso à cette occasion.
Merci à tous les acteurs qui ont facilité cette rencontre enrichissante.
Université Virtuelle du Burkina Faso - UVBF 
AUF Burkina Faso",01/01/2018
http://www.auf.org/les_membres/nos-membres/afrique-ouest,"[ Concours de Plan d'Affaires ]
 Tu as une idée de projet d'entreprise ? 
 Tu es un.e étudiante inscrit.e pour l'année académique 2020-2021 ou 2021-2022 ? 
 Es-tu prêt.e à représenter ton université à la finale interégionale de plan d'affaires qui se déroulera le 14 Octobre à Lomé ( Togo) 
 Ton université fait partie des universités membres de l'AUF (Vérifiez l’adhésion de votre établissement  : (http://www.auf.org/les_membres/nos-membres/afrique-ouest) 
Alors candidates  ici 
 : https://forms.gle/kWvXBPfAvjj2VJf19
et prends part à la finale nationale du Burkina qui te conduira, si tu es le vainqueur, tu participeras  à la finale inter-régionale au Togo.
Université Joseph Ki-Zerbo",01/01/2018
www.uv.bf,"L'Université Virtuelle du Burkina Faso (UV-BF) porte à l'attention des postulants à l'appel à candidatures pour le recrutement complémentaire sur dossier de 200 étudiants en première année de licence, que l'acceptation de leur dossier de candidature est conditionnée par le paiement des frais de traitement de dossier qui sont de 15.000 FCFA. 
Les postulants sont donc invités à effectuer le paiement des frais via leur compte sur CAMPUS FASO avant la date limite de réception des dossiers qui est le 1er Octobre 2021.
Découvrez notre université en visitant notre site web : www.uv.bf
Université Virtuelle du Burkina Faso, Une formation universitaire de qualité pour tous !",01/01/2018
www.uv.bf,"PLUS QUE 04 JOURS POUR POSTULER
L'Université Virtuelle du Burkina Faso, université publique burkinabè, porte à la connaissance du public qu'elle lance un appel à candidature, au titre de l’année académique 2021-2022, pour un recrutement complémentaire sur dossier, de 200 étudiants en première année de Licence, du 20 septembre au 1er Octobre 2021.
Retrouvez l'intégralité du communiqué sur notre site web : www.uv.bf
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
https://uv.bf/prolongation-du-delai-de-lappel-a.../,"Prolongation du délai de l’appel à candidatures pour le Master en Sciences de l’Education et de la Formation à l’UV-BF.
Il est porté à la connaissance du public que la date de clôture de l’appel à candidatures pour le recrutement sur dossier de trente (30) auditeurs pour une formation de niveau Master en Sciences de l’Education et de la Formation (MSEF) à l’Université Virtuelle du Burkina Faso, initialement prévue pour le vendredi 18 Mars 2022, est prorogée jusqu’au 27 Mars 2022.
Par ailleurs, un formulaire de lettre de recommandation est mis à la disposition des candidats à titre indicatif. Ce formulaire, téléchargeable sur le site web de l’UV-BF, peut être utilisé ou tout autre format de lettre de recommandation.
Plus d'informations sur notre site web : https://uv.bf/prolongation-du-delai-de-lappel-a.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
www.campusfaso.bf," 𝗕𝗢𝗨𝗥𝗦𝗘𝗦 𝗡𝗔𝗧𝗜𝗢𝗡𝗔𝗟𝗘𝗦
Le public burkinabè est informé que les bourses nationales au titre de l'année académique 2023-2024 sont lancées.
- avoir au moins 12/20
- avoir 22 ans au plus au 31 décembre 2023, pour les candidats titulaires du Bac : A, D, C, E, F1, F2, F3, F4, G1 et G2
- avoir 23 ans au plus au 31 décembre 2023, pour les bac professionnels.
 Dépôt des candidatures: du 1er au 14 août 2023
 sur www.campusfaso.bf
Procédures :
1- aller sur www.campusfaso.bf
2- cliquez sur ouvrir mon compte
3- se connecter avec son ine et mot de passe
4- cliquez sur Bourses dans le menu
5- choisir la bourse et continuer
Composition du dossier voir le communiqué ci-dessous.
NB: vous devez au préalable créer votre compte CampusFaso (ine et mot de passe) à partir du 1er août 2023. (Voir les procédures de création de compte dans nos anciennes publications)
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Universite  Norbert  ZONGO 
Université  de Ouahigouya-UOHG 
Université de Fada N'Gourma 
Université de Dédougou 
Université Nazi BONI 
Université Virtuelle du Burkina Faso - UVBF 
FONER Officiel 
Ciospb Officiel 
#BurkinaFaso #candidature #bourse #etudiants #campusfaso #bac2023 #lwili",01/01/2018
 www.campusfaso.b,"  𝗕𝗢𝗨𝗥𝗦𝗘𝗦 𝗗'𝗘𝗫𝗖𝗘𝗟𝗟𝗘𝗡𝗖𝗘
Les lauréats de la journée de l'excellence 2023 du Président du Faso sont invités à s'inscrire sur la plateforme CampusFaso pour la bourse nationale de cycle licence pour des études au Burkina Faso.
 Dépôt des candidatures: du 1er au 14 août 2023
 sur www.campusfaso.bf
Procédures :
1- aller sur www.campusfaso.bf
2- cliquez sur ouvrir mon compte
3- se connecter avec son ine et mot de passe
4- cliquez sur Bourses dans le menu
5- choisir la bourse et continuer
Composition du dossier voir le communiqué ci-dessous.
NB: vous devez au préalable créer votre compte CampusFaso (ine et mot de passe) à partir du 1er août 2023. (Voir les procédures de création de compte dans nos anciennes publications)
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara Universite  Norbert  ZONGO Université  de Ouahigouya-UOHG Université de Fada N'Gourma Université de Dédougou Université Nazi BONI Université Virtuelle du Burkina Faso - UVBF 
Ciospb Officiel 
FONER Officiel 
#BurkinaFaso #candidature #bourse #etudiants #campusfaso #bac2023 #lwili",01/01/2018
#Universités," 𝐁𝐨𝐮𝐫𝐬𝐞𝐬 𝐈𝐧𝐭𝐞𝐫𝐦é𝐝𝐢𝐚𝐢𝐫𝐞𝐬 𝐂𝐈𝐎𝐒𝐏𝐁
Cher(e)s camarades étudiants et étudiantes des #Universités Publiques du #Burkina_Faso,
certain(e)s étudiant(e)s n'arrivent pas à postuler aux #bourses_intermédiaires parce que souvent même si l' Étudiant(e) postulant(e) est en L2 ou L3 , la #plateforme lui/la demande de renseigner obligatoirement tous les autres semestres jusqu'à S6 ou voir plus.
Une correction sera appliquée cette nuit et demain ils/elles pourront déposer normalement.
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo Université Thomas Sankara Infos DAOI UTS Universite  Norbert  ZONGO Université NAZI BONI Université  de Ouahigouya-UOHG Université de Fada N'Gourma Université de Dédougou Université Virtuelle du Burkina Faso - UVBF Ciospb Officiel 
#BurkinaFaso #campusfaso #boursesdetudes #bourse #universite",01/01/2018
www.campusfaso.bf.," PAIEMENT DES FRAIS D'INSCRIPTION UNIVERSITAIRE 
En attendant... , le paiement des frais d'inscription commence ce Dimanche 21 août jusqu'au 31 août 2022.
#allons_payer_nos_frais_d_inscription
Pas besoin de se déplacer à moto , en voiture ni même à VELO , le paiement des frais d'inscription universitaire se fait UNIQUEMENT SUR www.campusfaso.bf.
 Pour payer :
1- Aller sur www.campusfaso.bf , cliquer sur orientation
2- Se connecter avec son ine et mot de passe
3- Cliquer sur « détails » du dossier
4- choisir l'option de paiement
5- bien lire et suivre la procédure 
IMPORTANT : en cas d'orientation au privé et au public, vous faites un seul choix. Veillez à bien regarder lire et Choisir un seul dossier.
NB : 
 Il est possible de renoncer à son orientation en ne payant pas les frais et faire une autre demande d'orientation à la session de rattrapage ( pour ceux qui pensent ne pas être satisfait de leur orientation, à noter que les filières à la session de rattrapage s'affiche en fonction du nombre de places disponibles)
 Il n'y a pas de changement de filière, ni de permutation possible.
 Il est vivement conseillé aux bacheliers de faire aussi une demande d'orientation dans les universités publiques ( même ceux voulans effectuer des tests d'entrée dans certaines filières à test.
 Les résultats des bacheliers de l'étranger et des anciens bac ( inférieur à 2020 ) sortiront dans les jours à venir.
 La session de rattrapage est prévue du 05 au 15 septembre 2022.
Ministère Enseignement Supérieur, Recherche et Innovation 
Université Joseph Ki-Zerbo 
Université Thomas Sankara 
Université Nazi Boni 
Universite  Norbert  ZONGO 
Université  de Ouahigouya-UOHG 
Université de Fada N'Gourma 
Université de Dédougou 
Université Virtuelle du Burkina Faso - UVBF 
Ecole Polytechnique de Ouagadougou - EPO 
#Burkina 
#bacheliers 
#Université 
#campusfaso
#orientation 
#bourse 
#bac2022 
#lwili",01/01/2018
#recrutement," 𝗔𝗩𝗜𝗦 𝗔𝗨𝗫 𝗡𝗢𝗨𝗩𝗘𝗔𝗨𝗫 𝗕𝗔𝗖𝗛𝗘𝗟𝗜𝗘𝗥𝗦 - 𝟮𝟬𝟮𝟯 𝗘𝗧 𝟮𝟬𝟮𝟰
Test de #recrutement d'étudiant en première année de licence dans les #filières à #test des #universités_publiques au titre de l'année #académique 2024-2025.
 𝗗𝘂 𝟮𝟱 𝗷𝘂𝗶𝗹𝗹𝗲𝘁 𝗮𝘂 𝟭𝟬 𝗮𝗼û𝘁 𝟮𝟬𝟮𝟰
𝗦𝘂𝗿 𝘄𝘄𝘄.𝗰𝗮𝗺𝗽𝘂𝘀𝗳𝗮𝘀𝗼.𝗯𝗳 ( se connecter avec son ine et mot de passe puis cliquer sur <<𝐜𝐚𝐧𝐝𝐢𝐝𝐚𝐭𝐮𝐫𝐞 𝐭𝐞𝐬𝐭>> dans le menu.
NB: frais de dossier 15 500f payable sur la #plateforme, toute #candidature non payée n'est pas valide.
 Tous les détails ( les communiqués ) sur les conditions , les filières , les universités ainsi que toutes les autres candidatures (L1,L2,L3, Master, doctorat, DES, etc.) cliquer sur 
 https://www.campusfaso.bf/candidat/communiques
𝐁𝐨𝐧𝐧𝐞 𝐜𝐡𝐚𝐧𝐜𝐞 à 𝐭𝐨𝐮𝐬 !!!
Ministère Enseignement Supérieur, Recherche et Innovation 
Direction Générale de l'Enseignement Supérieur - DGESup - 
Université Joseph Ki-Zerbo 
Universite  Norbert  ZONGO 
Université Nazi BONI 
Université  de Ouahigouya-UOHG 
Université Virtuelle du Burkina Faso - UVBF 
Université Daniel Ouezzin Coulibaly 
Université de Fada N'Gourma 
Université Thomas Sankara officiel 
Ecole Polytechnique de Ouagadougou - EPO  
FONER Officiel 
CENOU Burkina 
CEFORGRIS-Université Joseph Ki-Zerbo 
#BurkinaFaso #Mesri  #campusfaso  #nouveaux_bacheliers #candidats #campusfaso #lwili #Opportunité #2024",01/01/2018
https://uv.bf/appel-a-candidature-pour-le-recrutement.../,"Appel à candidature pour le recrutement complémentaire sur dossier de l'UV-BF au titre de l’année académique 2021-2022.
Il est porté à la connaissance du public que l’Université Virtuelle du Burkina Faso (UV-BF) lance un appel à candidature, au titre de l’année académique 2021-2022, pour un recrutement complémentaire sur dossier, d’étudiants en première année de Licence.
Retrouvez l'intégralité du communiqué sur notre site web : https://uv.bf/appel-a-candidature-pour-le-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Seulement à Université Virtuelle du Burkina Faso - UVBF 
𝐒𝐞𝐬𝐬𝐢𝐨𝐧 𝐝𝐞 𝐫𝐚𝐭𝐭𝐫𝐚𝐩𝐚𝐠𝐞 𝐝𝐞𝐬 𝐨𝐫𝐢𝐞𝐧𝐭𝐚𝐭𝐢𝐨𝐧𝐬 𝐝𝐮 𝟎𝟕 𝐚𝐮 𝟏𝟕 𝐬𝐞𝐩𝐭𝐞𝐦𝐛𝐫𝐞 𝟐𝟎𝟐𝟒
Retrouvez filières de l'UV-BF ici … En voir plus",01/01/2018
AUF Burkina Faso,"Le club scientifique en chiffres.
Merci à tous pour la contribution.
AUF Burkina Faso 
Université Virtuelle du Burkina Faso - UVBF",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," RESULTATS MASTER FOUILLE DE DONNEES ET INTELLIGENCE ARTIFICIELLE / UNIVERSITE VIRTUELLE .
Ci-dessous les candidats déclarés admis au test de recrutement.
Université Virtuelle du Burkina Faso - UVBF 
#BurkinaFaso #campusfaso #universite #resultats #master",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Salut, vous allez bien j'espère ?
Juste vous informer que le bureau des étudiants de l' Université Virtuelle du Burkina Faso - UVBF organise une séance de fitness le samedi 04 février 2023 au monument des martyrs.
Vous êtes tous invités, venez on va bien s'amuser 
.
#16h30GMT
#fitness
#UVBF
#CSEUVBF",01/01/2018
Millenium Consulting,"Vous êtes tous conviés à cette formation sur le marketing digital qui sera dispensée par le Big  Millenium Consulting 
Programme :
14h-14h30: accueil
14h30-16h30: Formation
16h30-16h45: prise de vue… En voir plus",01/01/2018
https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZDQxYWFlZDctZjY5ZC00ZDE1LTkzMmMtNjUzYTQ2Y2NlNTc2%40thread.v2/0?context=%7b%22Tid%22%3a%229172c69e-8e22-4c32-91be-31f7ae5f5767%22%2c%22Oid%22%3a%2299314b3d-be57-42df-8f8a-c6c004e873b1%22%7d,"La première édition de la compétition de Hacking Hack To Protect, coorganisé par L'APCEN et l'Université Virtuelle du Burkina Faso, prend fin ce Dimanche 14 Août 2022. 
Ils étaient 16 au départ, 12 en demi-finale et 7 finale. 
Suivez en direct le panel et la cérémonie de remise des prix  : https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZDQxYWFlZDctZjY5ZC00ZDE1LTkzMmMtNjUzYTQ2Y2NlNTc2%40thread.v2/0?context=%7b%22Tid%22%3a%229172c69e-8e22-4c32-91be-31f7ae5f5767%22%2c%22Oid%22%3a%2299314b3d-be57-42df-8f8a-c6c004e873b1%22%7d
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
